salary_id,employee_id,salary_amount,effective_date
1,1,46252,2021-03-30
2,1,53434,2021-09-10
3,2,52757,2025-03-23
4,2,58195,2025-08-28
5,2,111426,2026-02-22
6,3,47793,2020-02-28
7,3,52729,2020-08-19
8,3,84118,2021-01-15
9,4,39599,2022-07-22
10,4,42684,2022-12-02
11,4,47406,2023-03-31
12,4,87400,2023-12-06
13,5,52132,2022-04-29
14,5,59298,2022-11-01
15,5,66986,2023-05-03
16,5,87819,2023-11-25
17,6,37281,2020-03-12
18,6,42535,2020-10-25
19,6,47692,2020-12-30
20,6,50328,2021-07-10
21,6,61417,2022-01-19
22,7,43213,2018-12-26
23,7,81347,2019-07-03
24,8,72325,2023-03-16
25,9,52102,2019-09-25
26,9,56067,2020-06-05
27,9,46175,2020-08-29
28,10,41504,2024-01-29
29,11,41687,2019-11-01
30,11,74522,2020-09-13
31,12,35322,2020-04-03
32,12,39019,2020-07-12
33,12,42768,2021-04-10
34,12,109514,2021-07-11
35,13,103699,2024-05-18
36,14,110686,2024-12-01
37,15,34558,2019-06-28
38,15,37947,2019-12-02
39,15,41510,2020-09-19
40,15,46273,2020-11-15
41,15,84313,2021-10-01
42,16,76500,2021-12-04
43,17,38145,2019-06-11
44,17,42514,2019-10-14
45,17,45748,2020-02-18
46,17,95519,2020-09-01
47,18,53970,2020-05-07
48,18,59319,2020-09-10
49,18,63178,2021-05-02
50,18,69504,2021-08-27
51,18,58373,2022-06-13
52,19,70982,2018-03-08
53,20,112845,2023-07-26
54,21,41388,2021-12-17
55,21,44870,2022-04-06
56,21,102493,2022-09-11
57,22,38073,2021-01-12
58,22,40444,2021-06-02
59,22,43069,2021-10-23
60,22,47426,2022-05-05
61,22,72271,2022-08-23
62,23,45469,2021-12-04
63,23,49449,2022-01-16
64,23,57154,2022-07-15
65,24,34614,2020-07-23
66,24,37764,2021-04-25
67,24,41760,2021-10-23
68,24,85745,2021-11-18
69,25,50464,2018-02-18
70,25,53293,2018-08-13
71,25,60903,2019-05-08
72,25,65487,2019-12-09
73,25,79240,2020-06-13
74,26,32459,2021-05-05
75,26,37204,2022-02-07
76,26,39724,2022-06-24
77,26,43690,2022-10-24
78,26,84942,2023-05-25
79,27,52742,2021-05-20
80,27,57146,2021-09-14
81,28,88393,2020-02-08
82,29,39236,2019-08-10
83,29,43824,2019-11-11
84,29,93264,2020-04-01
85,30,72527,2021-10-25
86,31,51716,2021-06-30
87,31,55902,2022-02-03
88,31,69831,2022-06-09
89,32,45272,2024-06-15
90,32,49300,2024-10-02
91,32,56429,2025-04-05
92,32,55118,2025-07-09
93,33,48782,2021-12-27
94,33,55157,2022-05-23
95,34,42368,2020-03-23
96,34,83279,2021-01-12
97,35,43735,2022-09-16
98,35,49696,2023-05-14
99,35,55041,2023-11-14
100,35,56683,2024-01-03
101,36,36485,2018-05-24
102,36,96346,2018-11-10
103,37,42270,2019-12-31
104,37,107561,2020-11-19
105,38,49545,2023-10-23
106,39,63053,2019-05-07
107,40,44524,2024-04-28
108,40,81588,2024-09-01
109,41,72406,2023-06-04
110,42,81904,2021-08-16
111,43,51807,2024-03-03
112,43,57217,2025-01-01
113,43,65659,2025-03-28
114,43,67110,2026-01-02
115,44,49447,2022-07-20
116,44,79139,2022-12-01
117,45,92994,2018-05-18
118,46,57786,2018-07-14
119,47,36308,2021-06-21
120,47,41240,2021-12-31
121,47,46272,2022-06-22
122,47,95255,2022-08-09
123,48,41701,2018-06-21
124,48,66130,2019-03-06
125,49,37204,2022-07-21
126,49,41013,2022-08-21
127,49,44065,2023-05-21
128,49,55012,2024-01-23
129,50,43397,2022-08-17
130,50,46086,2022-12-29
131,50,52614,2023-08-18
132,50,65995,2023-12-18
133,51,56437,2019-06-14
134,51,64258,2019-11-26
135,51,45383,2020-05-23
136,52,100258,2019-08-03
137,53,37054,2023-07-31
138,53,39763,2024-04-14
139,53,117656,2024-06-04
140,54,38907,2025-02-16
141,54,41609,2025-06-12
142,54,47607,2026-04-03
143,54,52853,2026-06-04
144,54,43761,2027-02-17
145,55,44416,2021-02-24
146,55,47046,2021-08-13
147,55,65042,2022-04-16
148,56,51900,2018-03-22
149,56,93005,2019-02-16
150,57,80189,2022-03-23
